"Date","Close","High"
"2000-01-03","58.2812","59.3125"
"2000-01-04","56.3125","58.5625"
"2000-01-05","56.9062","58.1875"
"2000-01-06","55","56.9375"
"2000-01-07","55.7188","56.125"
"2000-01-10","56.125","56.8438"
"2000-01-11","54.6875","57.125"
"2000-01-12","52.9062","54.4375"
"2000-01-13","53.9062","54.3125"
"2000-01-14","56.125","56.9688"
"2000-01-18","57.6562","58.25"
"2000-01-19","53.5","55.75"
"2000-01-20","53","54.8438"
"2000-01-21","51.875","53.625"
"2000-01-24","50.625","52.8438"
"2000-01-25","51.4062","51.9375"
"2000-01-26","49.6875","51.75"
"2000-01-27","49.375","50.5938"
"2000-01-28","49.125","50.125"
"2000-01-31","48.9375","49.0938"
"2000-02-01","51.4688","51.625"
"2000-02-02","50.4062","51.9688"
"2000-02-03","51.8125","52.0938"
"2000-02-04","53.2812","54"
"2000-02-07","53.3125","53.4375"
"2000-02-08","54.9688","55"
"2000-02-09","52","54.7188"
"2000-02-10","53","53.2812"
"2000-02-11","49.9688","52.4375"
"2000-02-14","49.8125","50.875"
"2000-02-15","49.2812","50"
"2000-02-16","48.8125","50.0938"
"2000-02-17","49.8125","49.8438"
"2000-02-18","47.5312","50.0312"
"2000-02-22","46.9062","48.5625"
"2000-02-23","47.125","47.875"
"2000-02-24","47.375","47.9375"
"2000-02-25","45.6562","47.3516"
"2000-02-28","45.7812","46.0625"
"2000-02-29","44.6875","45.875"
"2000-03-01","45.4062","47.0469"
"2000-03-02","46.6875","47.6875"
"2000-03-03","48.0625","49.4375"
"2000-03-06","45.3125","48.6875"
"2000-03-07","46.4375","48.75"
"2000-03-08","47.7812","48.0938"
"2000-03-09","50","50"
"2000-03-10","50.5","51.25"
"2000-03-13","49","50.125"
"2000-03-14","47.5625","49.625"
"2000-03-15","47.6875","48.3125"
"2000-03-16","47.6875","48.3438"
"2000-03-17","49.6875","49.75"
"2000-03-20","48.6875","49.875"
"2000-03-21","51.375","51.5625"
"2000-03-22","51.625","52.8125"
"2000-03-23","55.9375","56.4375"
"2000-03-24","55.8438","57.5"
"2000-03-27","52.0312","54.125"
"2000-03-28","52.1562","53.7188"
"2000-03-29","53.5938","54.4688"
"2000-03-30","51.6875","54.3125"
"2000-03-31","53.125","54.125"
"2000-04-03","45.4375","48.25"
"2000-04-04","44.2812","46"
"2000-04-05","43.1875","44.25"
"2000-04-06","43","44"
"2000-04-07","44.5312","44.6875"
"2000-04-10","43.0312","44.3125"
"2000-04-11","41.9375","43.0312"
"2000-04-12","39.6875","41.125"
"2000-04-13","39.625","41.125"
"2000-04-14","37.0625","39.75"
"2000-04-17","37.9375","38"
"2000-04-18","40.2812","40.9688"
"2000-04-19","39.3438","40.75"
"2000-04-20","39.4688","39.9375"
"2000-04-24","33.3125","34"
"2000-04-25","34.6875","34.75"
"2000-04-26","34","35.5625"
"2000-04-27","34.9062","34.9688"
"2000-04-28","34.875","35.5"
"2000-05-01","36.7188","37"
"2000-05-02","34.9375","36.75"
"2000-05-03","35.2812","35.4062"
"2000-05-04","35.2188","35.625"
"2000-05-05","35.5625","35.9062"
"2000-05-08","34.9062","35.6875"
"2000-05-09","33.9062","35.2188"
"2000-05-10","33.0938","33.9375"
"2000-05-11","33.9375","34.0625"
"2000-05-12","34.4062","34.875"
"2000-05-15","34.6875","34.7188"
"2000-05-16","34.75","35.3125"
"2000-05-17","33.8438","34.5625"
"2000-05-18","33.0938","34.0312"
"2000-05-19","32.5312","32.9688"
"2000-05-22","32.0938","32.625"
"2000-05-23","31.5938","32.7812"
"2000-05-24","32.7812","33.2812"
"2000-05-25","30.75","32.375"
"2000-05-26","30.7188","31.3125"
"2000-05-30","31.6875","32.0625"
"2000-05-31","31.2812","31.8516"
"2000-06-01","32.2812","33"
"2000-06-02","33.1562","33.375"
"2000-06-05","33.4375","34.1875"
"2000-06-06","34.8125","34.9375"
"2000-06-07","35.25","35.375"
"2000-06-08","34.4062","36.0625"
"2000-06-09","34.4062","34.8438"
"2000-06-12","33.4375","34.5"
"2000-06-13","33.9375","34"
"2000-06-14","35.25","35.5"
"2000-06-15","36.1875","36.3438"
"2000-06-16","36.2812","36.5625"
"2000-06-19","36.8438","36.9062"
"2000-06-20","37.4688","37.625"
"2000-06-21","40.3438","41.0938"
"2000-06-22","39.9375","41"
"2000-06-23","38.8438","40.0312"
"2000-06-26","39.75","40.0625"
"2000-06-27","39.4062","40.0625"
"2000-06-28","39.4688","40.0312"
"2000-06-29","38.5938","39.4688"
"2000-06-30","40","40"
"2000-07-03","40","40.0312"
"2000-07-05","39.25","39.9375"
"2000-07-06","40.4688","40.8438"
"2000-07-07","41","41.4375"
"2000-07-10","39.7188","40.6562"
"2000-07-11","39.5625","40.25"
"2000-07-12","40.1562","40.5"
"2000-07-13","39.9688","40"
"2000-07-14","39.4688","39.875"
"2000-07-17","39.0938","39.7812"
"2000-07-18","39.25","39.75"
"2000-07-19","36.5625","38.75"
"2000-07-20","37.4062","37.625"
"2000-07-21","36.1562","37.5"
"2000-07-24","35.2812","36.0625"
"2000-07-25","34.5","35.5"
"2000-07-26","33.9062","34.75"
"2000-07-27","34.6875","35.0625"
"2000-07-28","34.8438","35.9062"
"2000-07-31","34.9062","35.5625"
"2000-08-01","34.3438","35.0312"
"2000-08-02","34.6875","35.2188"
"2000-08-03","35.125","35.1875"
"2000-08-04","34.5625","34.9375"
"2000-08-07","35","35.5625"
"2000-08-08","37.0625","37.3438"
"2000-08-09","37.125","37.4375"
"2000-08-10","36.3125","37.0312"
"2000-08-11","36.2188","36.3438"
"2000-08-14","36.0938","36.6875"
"2000-08-15","35.8125","36.5"
"2000-08-16","35.5","36.125"
"2000-08-17","35.7812","36"
"2000-08-18","35.5","35.7188"
"2000-08-21","35.3125","35.4062"
"2000-08-22","35.625","36.2188"
"2000-08-23","35.375","35.5625"
"2000-08-24","35.5625","35.5938"
"2000-08-25","35.3125","35.8438"
"2000-08-28","35.6562","36.0625"
"2000-08-29","35.4688","36.375"
"2000-08-30","35","35.4688"
"2000-08-31","34.9062","36"
"2000-09-01","35.0938","35.3125"
"2000-09-05","35.0625","35.3438"
"2000-09-06","34.7188","35.3438"
"2000-09-07","35.0312","36.0312"
"2000-09-08","34.6562","35.4375"
"2000-09-11","34.4062","34.8438"
"2000-09-12","34.0625","34.6562"
"2000-09-13","34.125","34.375"
"2000-09-14","32.9062","34.375"
"2000-09-15","32.0938","32.8125"
"2000-09-18","31.5","32.3125"
"2000-09-19","32.5","32.875"
"2000-09-20","32.125","32.5"
"2000-09-21","32.0938","32.5625"
"2000-09-22","31.625","31.75"
"2000-09-25","30.625","31.75"
"2000-09-26","31.3438","32.9375"
"2000-09-27","30.3125","31.7812"
"2000-09-28","30.6562","30.9375"
"2000-09-29","30.1562","30.6562"
"2000-10-02","29.5625","30.4062"
"2000-10-03","28.2812","29.9062"
"2000-10-04","27.7188","28.2812"
"2000-10-05","27.6875","28.625"
"2000-10-06","27.7812","28.375"
"2000-10-09","27.0938","27.875"
"2000-10-10","27.2812","27.7812"
"2000-10-11","27.875","28.4688"
"2000-10-12","27.1875","28.4375"
"2000-10-13","26.875","27.4375"
"2000-10-16","25.1875","26.9062"
"2000-10-17","25.2188","26.2188"
"2000-10-18","25.875","26.625"
"2000-10-19","30.9375","31.0938"
"2000-10-20","32.5938","33.0625"
"2000-10-23","31.0625","33.125"
"2000-10-24","30.75","31.4688"
"2000-10-25","30.625","31.7188"
"2000-10-26","32.2188","32.5312"
"2000-10-27","33.8438","34.5938"
"2000-10-30","34.5312","35.0625"
"2000-10-31","34.4375","34.75"
"2000-11-01","34.8125","35.0312"
"2000-11-02","35.1562","35.4219"
"2000-11-03","34.125","34.8125"
"2000-11-06","34.75","35.0625"
"2000-11-07","35.25","35.9375"
"2000-11-08","34.7188","36.1875"
"2000-11-09","35.4375","35.6562"
"2000-11-10","33.6875","35.1562"
"2000-11-13","33.2188","34.0625"
"2000-11-14","34.4062","34.9062"
"2000-11-15","35.0312","35.4375"
"2000-11-16","34.4688","35.75"
"2000-11-17","34.5312","35"
"2000-11-20","33.5938","34.25"
"2000-11-21","33.875","34.625"
"2000-11-22","34.125","34.75"
"2000-11-24","34.9688","35.2188"
"2000-11-27","35.3438","36.125"
"2000-11-28","33.5","34.875"
"2000-11-29","32.5312","33.5625"
"2000-11-30","28.6875","31.0312"
"2000-12-01","28.3125","30.3125"
"2000-12-04","28.2188","29.5"
"2000-12-05","29.9375","30.25"
"2000-12-06","28.3438","30.0312"
"2000-12-07","26.5625","27"
"2000-12-08","27.2188","27.9375"
"2000-12-11","29.0312","29.375"
"2000-12-12","29.1875","30"
"2000-12-13","28.625","30.25"
"2000-12-14","27.75","29.3672"
"2000-12-15","24.5938","26"
"2000-12-18","23.9062","25"
"2000-12-19","22.4062","24"
"2000-12-20","20.75","22"
"2000-12-21","21.7188","22.5625"
"2000-12-22","23.2188","23.5625"
"2000-12-26","23.4375","24.2812"
"2000-12-27","23.2188","23.4062"
"2000-12-28","22.2812","23.125"
"2000-12-29","21.6875","22.9062"
"2001-01-02","21.6875","22.5"
"2001-01-03","23.9688","24.4375"
"2001-01-04","24.2188","25.25"
"2001-01-05","24.5625","24.9375"
"2001-01-08","24.4688","24.875"
"2001-01-09","25.9062","26.3125"
"2001-01-10","26.4375","26.9062"
"2001-01-11","27.5","27.875"
"2001-01-12","26.75","27.5"
"2001-01-16","26.2812","26.75"
"2001-01-17","26.4688","27.4375"
"2001-01-18","27.75","28.0938"
"2001-01-19","30.5","30.7188"
"2001-01-22","30.0625","30.5"
"2001-01-23","30.2812","30.4688"
"2001-01-24","31.4688","31.7188"
"2001-01-25","30.9062","32"
"2001-01-26","32","32.1562"
"2001-01-29","32.25","32.3125"
"2001-01-30","31.6875","32.375"
"2001-01-31","30.5312","31.875"
"2001-02-01","31.1875","31.3125"
"2001-02-02","30.4062","31.6875"
"2001-02-05","30.9688","31.0312"
"2001-02-06","31.2812","31.9062"
"2001-02-07","32.3438","32.5312"
"2001-02-08","31.125","32.25"
"2001-02-09","29.5625","30.7812"
"2001-02-12","29.375","29.7188"
"2001-02-13","29.0938","30.5312"
"2001-02-14","29.1875","29.5"
"2001-02-15","29.4062","30.0938"
"2001-02-16","28.6562","29.125"
"2001-02-20","27.9375","29.125"
"2001-02-21","28.125","29.0312"
"2001-02-22","27.5938","28.4062"
"2001-02-23","28.375","28.75"
"2001-02-26","29.7812","29.9688"
"2001-02-27","29.6875","30.5938"
"2001-02-28","29.5","30.0391"
"2001-03-01","29.6797","29.75"
"2001-03-02","28.3438","29.0625"
"2001-03-05","28.7188","29.3125"
"2001-03-06","29.7188","30"
"2001-03-07","30.3438","30.5625"
"2001-03-08","29.625","30.2969"
"2001-03-09","28.3438","29.0938"
"2001-03-12","25.9688","27.5"
"2001-03-13","27.0938","27.375"
"2001-03-14","27","27.625"
"2001-03-15","26.8438","28.0391"
"2001-03-16","27.2812","27.5625"
"2001-03-19","27.1562","27.75"
"2001-03-20","26.3438","28.0625"
"2001-03-21","25.0312","26.625"
"2001-03-22","27","27.0312"
"2001-03-23","28.2812","28.5"
"2001-03-26","28.0312","28.75"
"2001-03-27","29.125","29.2812"
"2001-03-28","27.7812","28.9688"
"2001-03-29","27.6875","28.5938"
"2001-03-30","27.3438","28.0938"
"2001-04-02","27.9062","28.4688"
"2001-04-03","26.6875","27.6562"
"2001-04-04","25.9688","27.5"
"2001-04-05","28.375","28.6875"
"2001-04-06","28.0938","28.5938"
"2001-04-09","28.575","28.71"
"2001-04-10","29.84","30.045"
"2001-04-11","30.02","30.75"
"2001-04-12","31.09","31.155"
"2001-04-16","30.395","30.79"
"2001-04-17","30.74","31.055"
"2001-04-18","32.715","33.155"
"2001-04-19","34.02","34.5"
"2001-04-20","34.5","35.55"
"2001-04-23","34.125","34.235"
"2001-04-24","33.775","34.965"
"2001-04-25","34.845","34.895"
"2001-04-26","34.565","35.5"
"2001-04-27","33.56","34.84"
"2001-04-30","33.875","34.53"
"2001-05-01","35.085","35.15"
"2001-05-02","34.88","35.575"
"2001-05-03","34.265","35.09"
"2001-05-04","35.375","35.525"
"2001-05-07","35.69","36.075"
"2001-05-08","36.03","36.05"
"2001-05-09","35.2","35.65"
"2001-05-10","35","35.62"
"2001-05-11","34.7","35"
"2001-05-14","34.36","34.6"
"2001-05-15","34.135","34.65"
"2001-05-16","34.58","34.94"
"2001-05-17","34.085","35.07"
"2001-05-18","34.045","34.6"
"2001-05-21","34.395","34.995"
"2001-05-22","35.155","35.175"
"2001-05-23","34.85","35.8"
"2001-05-24","35.86","35.89"
"2001-05-25","35.455","35.95"
"2001-05-29","35.17","35.875"
"2001-05-30","34.595","35.29"
"2001-05-31","34.59","35.19"
"2001-06-01","35.17","35.35"
"2001-06-04","35.39","35.51"
"2001-06-05","36.3","36.54"
"2001-06-06","36.18","36.74"
"2001-06-07","36.84","36.865"
"2001-06-08","36.595","36.875"
"2001-06-11","36.06","36.425"
"2001-06-12","36.04","36.205"
"2001-06-13","35.345","36.15"
"2001-06-14","34.45","35.275"
"2001-06-15","34.01","34.15"
"2001-06-18","33.44","33.98"
"2001-06-19","33.66","34.425"
